CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1962,F,66,114.8,1,1
1963,M,25,20,63,4
1964,F,65,90.4,1,1
1965,F,52,92.8,15,3
1966,M,78,125.7,1,1
1967,M,39,45.3,37,0
1968,F,57,100,6,1
1969,M,76,111.2,1,1
1970,F,24,34.6,42,2
1971,F,76,127.9,1,1
1972,F,61,96.7,6,1
1973,F,22,25.1,66,4
1974,F,37,63.3,42,0
1975,F,62,94.2,7,1
1976,M,22,15,63,4
1977,M,54,107.4,1,1
1978,F,39,69.5,46,0
1979,F,56,92.8,23,3
1980,F,21,17.5,57,4
1981,M,72,115.5,1,1
1982,F,78,122.6,1,1
1983,M,78,115.1,1,1
1984,F,64,106.8,6,1
1985,F,26,48,47,0
1986,M,65,101.2,5,1
1987,M,20,15,61,4
1988,F,19,15,74,4
1989,F,38,53.1,37,0
1990,F,48,92.8,19,3
1991,M,66,105.2,12,1
1992,M,60,100.1,6,1
1993,M,46,73.8,44,0
1994,M,35,36.9,72,4
1995,M,80,133.3,1,1
1996,M,44,82.6,40,3
1997,F,46,67.7,26,3
1998,F,28,45.7,59,2
1999,M,67,107.8,1,1
